iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.676668983520015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.803007888231763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18989873617888,0.0,0.0,115.33740084243894,0.0,0.0,0.0,25.515703561202336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76517057107123,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,10.72126962879506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.926918976069578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.04296085600569,0.0,0.0,142.33267983033528,0.0,0.0,0.0,31.503609499008896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4163464994650496,0.0,0.0,0.0,0.0
3,2012-01-04 12:00:00,0.005240153643448438,0.010329350440137098,0.005071160334805662,0.04352117917461505,0.1576748408922313,0.046111707418652434,10.646477344322792,0.014818040707613798,0.025424918998864857,0.1254376982850851,0.077576324981641,0.01942838887166467,0.00579221032019964,0.004435754270778773,0.08785126016222897,0.012989623066614055,0.003100973338863982,0.006293268518778813,0.010400208690001106,6.0129955609912145,0.18951259867661996,0.0023578809566380927,0.03703665954732083,0.031952607642862785,0.024963567595361544,0.003026596142955312,0.0027023331957601038,0.039440866341724,0.0017598667542912602,0.004780657599307049,0.03233810519685839,15.15118412592574,0.007544584539929698,0.038030164039794374,138.33746950044014,0.1674789058945722,0.00893191048570622,0.01536965442528529,31.30810516143149,0.03919694318631038,0.009710945472355619,0.001738691095579808,0.022746250940156018,0.11372448044953408,0.020880554990417202,0.030562290263820638,3.347580416329061,0.031300028665068334,0.013820680125612215,0.03515691723556268,0.0014668013259256291
4,2012-01-05 12:00:00,0.005956388545689184,0.014679839417291594,0.006497929268350024,0.04832475113662583,0.18137506386331342,0.05143897669940597,9.93093399385178,0.014913844068192742,0.06235747697758117,0.14243571340285277,0.08516423451022412,0.02194666075744449,0.008115839327113931,0.005363292855467929,0.09743331031382169,0.016731860339622345,0.004460341313327111,0.008105672638210895,0.012769315147560387,5.778437671352872,0.4408806768500855,0.0027225297117737185,0.041753721955364496,0.03513745860011319,0.028318247266747813,0.003774278742760371,0.0030668618894802557,0.044376996852428845,0.0022689304932809523,0.005595030355624469,0.07461207932075652,14.438597557060339,0.009341763839843652,0.03718227678994542,124.56822287475461,0.36531225413567736,0.011406468202451019,0.017764377619313876,29.229384224590476,0.09010011486001199,0.013090413074884608,0.002257967593480348,0.026046926187614818,0.1284746709636076,0.02394875797161747,0.034696183696079394,3.0548353909517254,0.03557127112099831,0.017602970008727233,0.08489064039917456,0.0019731919510519265
5,2012-01-06 12:00:00,0.008286975532330605,0.021007063979581863,0.009206078771065428,0.06698211553377195,0.2528530765413091,0.0713321363534617,9.06564757876809,0.020786337356247075,0.09950714254714792,0.19812932129629612,0.11788380431919472,0.03047449234990578,0.01159473504159538,0.007529769492443334,0.13507533924045098,0.02427900300282755,0.0064162168319059215,0.011802209811564565,0.017983160046063332,5.470786481731156,0.6986704382005549,0.003930708321289824,0.05849865524949128,0.04867059307584089,0.039417104354836696,0.005363549615162393,0.004274788625244196,0.06169403066068234,0.003208730577335341,0.007837015176449968,0.11816561417420711,13.526855894413377,0.01313519827048663,0.05066402825315628,108.9320861899491,0.5753750024447151,0.016127056452512518,0.024781679409756462,26.722996066914465,0.14261856822986949,0.018618308563184947,0.0031994127086955476,0.03630877305763163,0.1786577360287335,0.033326107724339596,0.04886350629488529,2.714920575394916,0.04950874020561263,0.024878756925588382,0.13489646633189106,0.002806066974659622
6,2012-01-07 12:00:00,0.008543653104202013,0.024108656845455358,0.010135458340835412,0.06805163968759013,0.2625134000062409,0.07267405034070386,8.19697453661838,0.02097467526435307,0.13101221464289864,0.2041130346641912,0.11901218442511628,0.03128095579558096,0.013227218765380817,0.00803595649345525,0.13719480195069972,0.028280214552486353,0.007440896615992953,0.013830993370657137,0.019374528770013645,5.129050091520441,0.9096884808992084,0.004439633014733764,0.06121247806139175,0.04920785346599926,0.04062382397909846,0.0058917567318410155,0.004416324712264283,0.06327221647222706,0.0035283940418382033,0.008249138346685139,0.15374605392575402,12.554592718299045,0.014150675915963203,0.04744618213822532,94.08079825829951,0.7424473286115064,0.017680727833494,0.02579805236403627,24.19802220268374,0.185359760630043,0.02089990780854808,0.0035359349421801955,0.03763252828363307,0.18357556643090117,0.03448048339782359,0.05189451169768215,2.385749205426753,0.051050551220921024,0.02724053333045556,0.17653116243763098,0.003148228884331394
7,2012-01-08 12:00:00,0.009383031477532422,0.02749518293985231,0.011428772560867531,0.07427394352408415,0.28910525302315887,0.0794029222839418,7.374421208011941,0.024116348036532956,0.15519630236278517,0.22407542192736554,0.12964834733581407,0.034274579594772606,0.015051661763530578,0.008943789583416519,0.1497844876805133,0.03421494546489528,0.008557098156534848,0.01685032911811889,0.021665728503070317,4.784378774851629,1.0722112721006123,0.0054327963008580105,0.0689381921926207,0.053654637102067956,0.04464110724971543,0.006698206545843414,0.00486629028823603,0.0693988060582913,0.003963239294044612,0.009162552541218288,0.18132221553283936,11.58897761831986,0.01576635806558044,0.05033587217806728,80.85925349466795,0.8756547721271573,0.019863771696823556,0.028440168609442235,21.807781005981628,0.21845710563628803,0.023655574706961065,0.00398435417660287,0.04145282339503778,0.2014007826961402,0.037867626679438084,0.0593672424771127,2.0858608281085638,0.056083302641220314,0.030590787162933567,0.20799660480914267,0.003563592211328999
8,2012-01-09 12:00:00,0.009323289117575068,0.029151471627299648,0.011870719731016872,0.0729963826212417,0.2886635473440942,0.07819413476435357,6.6089742949823,0.025253388352763438,0.1720867632014072,0.22250087838195123,0.12692717545172844,0.033934073022575076,0.01590215593536092,0.00909629992618275,0.14725936441401719,0.03878533297676581,0.009167679479441967,0.019250780481833436,0.02219686629580792,4.436383982152349,1.1815101110047246,0.00620873755862143,0.07092877196941062,0.05260213760252733,0.04437965496029525,0.0070140965172887995,0.00485570261845312,0.06877062714306388,0.0040986937645789735,0.009267591316065808,0.1999480474745923,10.639300658080884,0.016089312524659758,0.04666561850566478,69.35587106004586,0.965195319673576,0.020533080006955706,0.02844855033294738,19.57782783322161,0.24068107766781877,0.024771867086567347,0.004138980951220187,0.0413895292405028,0.19969556317637285,0.037662457112511136,0.062396421255923894,1.8183900593618207,0.05574407356379314,0.031602239952627176,0.22919207059688682,0.003731585728495839
9,2012-01-10 12:00:00,0.009457485978968103,0.03058033947208797,0.012354191805329,0.0735585993865086,0.29363364355352256,0.07888259875082965,5.905003032190457,0.02764099487433497,0.18258629543280822,0.22559477238020773,0.12770036393359216,0.03433446670224777,0.01664842324942833,0.009347806172663894,0.14851052836751857,0.043931831843347605,0.009707094588148104,0.021961218126101446,0.02292556327824804,4.09588159726411,1.2480353180124146,0.007181264265328993,0.07477112392519977,0.0529819390006511,0.04506231362455865,0.007388192451695532,0.0049489043920633805,0.06973012211925624,0.004243104699528898,0.00952295802364113,0.21146736729243681,9.724747350945016,0.01652826257338346,0.04567478068203612,59.463299711792324,1.0230144714481413,0.02127496940580085,0.028967152050342553,17.525221153517688,0.25432546688955227,0.025821214718738227,0.004300130553126523,0.04215325904691676,0.20237824279076477,0.0381767012084258,0.06705047523653633,1.582434798874981,0.056568846174565264,0.03274280150016326,0.2416735237464704,0.003890275220418314
10,2012-01-11 12:00:00,0.009190217519035256,0.031026552885092186,0.012402123196365702,0.07085924625531312,0.2863861759551004,0.07610041865073465,5.261148710467652,0.029078249973895513,0.1877270424681776,0.21908602898478033,0.12272605925779287,0.033256436133986295,0.016850780558668135,0.009238938550188303,0.14322058508841634,0.04812002861779719,0.009949419752580024,0.024224099454521766,0.022797407925571122,3.763855353262757,1.2770239627259148,0.008017253294192336,0.07596885648618874,0.0509906156770502,0.04383707069359814,0.007511667878594123,0.004835872645261571,0.06772754167659334,0.004235136232663565,0.009402781353850103,0.21668600088473386,8.849876435202653,0.016338984213147376,0.04214967137883595,50.9832961769009,1.0503842129802854,0.021250948256617063,0.02828953956915944,15.643801763315608,0.2603263486100476,0.025993003246806576,0.0043098245696014765,0.0411836075268449,0.1963971618034103,0.03707748235760628,0.06952111040241508,1.3751902940539777,0.05499532372462611,0.03271111192806241,0.2468800760074211,0.003916506624493001
