iteration,time,US-AK,US-AL,US-AR,US-AZ,US-CA,US-CO,US-CT,US-DC,US-DE,US-FL,US-GA,US-HI,US-IA,US-ID,US-IL,US-IN,US-KS,US-KY,US-LA,US-MA,US-MD,US-ME,US-MI,US-MN,US-MO,US-MS,US-MT,US-NC,US-ND,US-NE,US-NH,US-NJ,US-NM,US-NV,US-NY,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VA,US-VT,US-WA,US-WI,US-WV,US-WY
1,2012-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.5443737469011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2012-01-03 12:00:00,0.01715717326372863,0.017218583850851007,0.012565550903501694,0.1489915321415201,0.506826299412292,0.15595454794293417,39.067278849508895,0.05807079596118283,5.66866958052708E-5,0.41183829280792655,0.2707403830572904,0.06361192047614804,0.010350045875779026,0.012782849904088567,0.30205978248970256,0.03165007182460953,0.004889227513204607,0.015362094563228389,0.028938558208590745,21.70433813594034,0.06708398059422088,0.007558226107369439,0.12413913992222593,0.11167279073638348,0.0825500007664256,0.00811092139147083,0.008951774045915678,0.13243901696638102,0.004270397750663734,0.01485191430098095,0.012749782664868823,54.97288251418978,0.020468621077019866,0.15677650503211063,1127.994613562976,0.12019941456375961,0.02231566258200827,0.048930066262582915,114.95715814112697,0.01685956811075096,0.020284389315652736,0.004128681011150557,0.07386748852558496,0.3786198890660379,0.06699422665919587,0.10094955744655308,12.447679684310712,0.10302334573476257,0.03478673565916785,0.0023099828540647854,0.0030799771387530466
3,2012-01-04 12:00:00,0.015634238924105717,0.015775837801363646,0.01151047933085276,0.13571373334019385,0.46316931417855045,0.141817916777813,69.29586562290423,0.052004751989785485,5.1982508891081325E-5,0.3754213680609986,0.24638149884017244,0.05762697865338058,0.009483548952421102,0.011695519170447905,0.27544254622552933,0.028989177387047985,0.004481683987015222,0.014075134850213784,0.026497845444702847,38.359921320768024,0.061338128365905645,0.006921631526059692,0.11351101785891034,0.1018706216983442,0.07544297202968843,0.0074330592065588365,0.008190239015819962,0.12098920734377869,0.0039100697933196525,0.013592358246932584,0.011664081901247526,97.2592364307971,0.018721574420269872,0.14116487440271044,1307.2191586870426,0.109957024398423,0.020433572245087805,0.04472218654335825,203.6229147048898,0.015403324338800272,0.018579674968848055,0.0037813422094213423,0.0675356472969,0.34575030376452126,0.06101023305878843,0.09226896437229348,22.07759145859412,0.09409425619801873,0.031852705602784165,0.002117697962496984,0.002820363283922722
4,2012-01-05 12:00:00,0.06282853735863739,0.08600317919923288,0.05165798319732611,0.5365889730402275,1.870986099512957,0.5638030169912953,105.7454489270711,0.19812656703518028,1.0065220872302545,1.5067846663092326,0.9679199952695625,0.23242167972935862,0.04982211963707791,0.04927557776195341,1.0866077603749895,0.13108451036023222,0.025179727687240836,0.06358004689820265,0.11319761413625017,63.12145026384227,7.095529647314585,0.027953431133125907,0.45124451530585924,0.39941413464714165,0.3015143165460748,0.032239070472785424,0.032689317010386784,0.4809179829245813,0.017717163175643376,0.05557845102749068,1.1943867157742105,156.69081936435362,0.08088171732583832,0.5271673508034947,1533.5768908143077,5.75607929428444,0.09139475103941457,0.18130281356666475,311.64324567523784,1.4482687692189655,0.09024926633422109,0.017298328943188196,0.27168177770841984,1.3790132420219219,0.24715727982929225,0.3688907972957284,31.910274246894318,0.3768546269808838,0.14200768691142635,1.352379626488777,0.013667551628813352
5,2012-01-06 12:00:00,0.07378298593339588,0.12134421433348186,0.06580935285357872,0.6222000038923781,2.2145138977453196,0.6548707814327505,149.8852870421472,0.2177374857214892,2.9284775540219155,1.7687693950016128,1.1153926692060507,0.2713726725960368,0.06912110342827953,0.06016483494377757,1.2598086206819272,0.1677151785444344,0.036039126485505946,0.08134042077610709,0.13967579639261726,95.9836703307634,20.201508087411582,0.03318202254427273,0.5282902080081979,0.46115999705132305,0.35411510350561304,0.04022822343922923,0.03841783399671248,0.5622311974965182,0.02268455640101143,0.0664901195937935,3.391825748875153,234.09525591418253,0.1003736273911614,0.574431501424612,1808.2328781171955,15.977574458082403,0.11611725028702731,0.21519260748068664,442.8552345259702,4.102383478856628,0.12025670731381462,0.0222833174615492,0.3208000459628775,1.6153957129368801,0.2916669435943097,0.43344243478205075,42.58477616172345,0.4429177217749006,0.18005089537675883,3.917633130311005,0.018178773289228164
6,2012-01-07 12:00:00,0.15250672846829183,0.28707474782361103,0.14532463666537054,1.270756573109471,4.594706418993759,1.3423818494901196,203.91922672652908,0.5878599864061796,6.062403325217172,3.6524611109092326,2.269089452513163,0.5616307510517465,0.16148724842200352,0.12816409181570268,2.570529471214179,0.5874050725785103,0.08688210556398027,0.29205408727897664,0.3003968045819413,140.05601390507383,41.53129251107498,0.11600717384304235,1.2410217036342965,0.93757925961237,0.7301565484926923,0.08867660678896445,0.0793400292224485,1.1547728700024251,0.05002420556517783,0.139784352191556,6.989874396678408,334.8459759738391,0.2159330417705004,1.1241638562434106,2143.8866722820344,33.14783963645918,0.25504341465128405,0.4475232099847618,604.7699835907217,8.44220752331547,0.27342302385516554,0.049479968426642276,0.6645505794369488,3.3234887067045884,0.6049916967967042,1.1024344797986187,54.65141874320822,0.9138185988130689,0.394872683103394,8.019848454041636,0.04133961119659561
7,2012-01-08 12:00:00,0.19265801928564288,0.4373283987125028,0.20326924165467736,1.5740640054742117,5.857479605926412,1.6694801539390682,269.9823822635772,1.1239797042078665,10.770983080888172,4.608884542596552,2.7894595741508645,0.7062047549360415,0.24255955684807334,0.17022049504201622,3.182936466810209,1.3961311221127493,0.13523167846667242,0.7057283530086661,0.40490779533216364,197.8227366210109,72.94453272293134,0.27867863134164417,1.9925199932198205,1.1545182766506525,0.9217206313040579,0.12368870795379941,0.10052615037316848,1.4481448679416835,0.06981993614471727,0.1820342356141374,12.304755654418862,463.81069936613176,0.29090879697080063,1.274931948399201,2552.207529788547,58.60382057991969,0.3540553466388112,0.5726787849677352,803.9621951218197,14.83650113756995,0.3971332159646862,0.06970910638926825,0.8454446717078414,4.177576913901888,0.7679607702306781,1.9725643331328477,68.55076994877246,1.154038768762002,0.5470011907436714,14.025909586205557,0.06001894469201591
8,2012-01-09 12:00:00,0.32487722686124887,0.7860278599220247,0.35684848987294987,2.63077740165932,9.901609412187437,2.7973342402756014,351.07225318251557,2.4208224693187255,17.53565397286834,7.7653305412385825,4.654233983161595,1.1911614945388707,0.43352637564185137,0.2924243066742904,5.336517596038023,3.200837411583235,0.2470851305479465,1.6330231012852114,0.7007100990314306,273.83622408794,117.8778621491394,0.6525033161496261,3.961977275658657,1.9265241020724666,1.5535629489070173,0.22058267878864066,0.17012450027319687,2.448874297671053,0.12170352872229859,0.312112958859309,19.963268630973005,628.8584770089318,0.5001982584817496,2.0749350652634178,3051.6809796526495,95.96934946919572,0.6174240296113471,0.9694710114960844,1050.6363881961065,24.019713150528556,0.702501405008946,0.12223978430987245,1.4395282619766208,7.024879977599479,1.295105139563276,4.104617737151928,84.85414567643396,1.9441212460840047,0.9582359625259561,22.49615774977693,0.10626635325728664
9,2012-01-10 12:00:00,0.4209428146177525,1.1650610460878315,0.5039125525878685,3.3413759607904003,12.929883618526608,3.5683511126354563,450.47544909950506,4.3134204999136125,26.944578566738976,10.046977784642406,5.878213616529772,1.5373214390010785,0.6364985762136268,0.3956141371529172,6.8468106674565,6.1655214319403,0.37483649696828136,3.1778063935053984,0.9617288804368926,372.3011085698921,179.5330885319799,1.2847678544202088,6.594251163692288,2.4378193256159943,2.0138280593654057,0.31741203127495826,0.22221868074062043,3.2112689432786334,0.1702073848991521,0.4187147191350302,30.553820245980578,837.7496190670811,0.6803127316914107,2.425143677798892,3660.615518581507,147.84756847170968,0.8627325591519789,1.270217857780629,1355.0729341547526,36.641294684145095,1.010711732727593,0.17268310282218696,1.9180481368448892,9.059145922548126,1.6803749728789874,7.153635761382814,104.16380247084619,2.5178125553970583,1.355972467146598,34.06943638391851,0.15299248700056478
10,2012-01-11 12:00:00,0.6449738470592472,1.853565368014492,0.7952084363159018,5.080179820937062,19.847777293101114,5.436132670122347,572.7073280463828,7.619243305264374,39.75941179656348,15.380529091565272,8.935505733332318,2.3547095310804815,1.0091600353081258,0.6143399045123735,10.562702287733494,11.2440480586045,0.6060840767142162,5.842184209901895,1.5035867479683167,500.221018799512,263.20848141200315,2.3954335763703183,11.571416299025035,3.708163103655667,3.0887402426969808,0.5130159212024186,0.3428518013292329,5.037945774623193,0.2659201283314031,0.6529068562189512,45.081702370042535,1102.2889265705478,1.0527270782042075,3.6260476391845224,4406.4914471390675,219.85147808723866,1.3510597046012849,1.951877320240821,1732.5885478479086,53.835793181355385,1.5948253318780945,0.2714117881560919,3.0328252213325886,13.854446587742764,2.5693035443737884,12.624689444704314,127.30354626308208,3.855672604347956,2.1656630683779667,49.649388756359315,0.24148849077651136
